question,pororo_ner
대통령을 포함한 미국의 행정부 견제권을 갖는 국가 기관은?,"[('대통령', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('포함한', 'O'), (' ', 'O'), ('미국', 'COUNTRY'), ('의', 'O'), (' ', 'O'), ('행정부', 'ORGANIZATION'), (' ', 'O'), ('견제권을', 'O'), (' ', 'O'), ('갖는', 'O'), (' ', 'O'), ('국가', 'O'), (' ', 'O'), ('기관은?', 'O')]"
현대적 인사조직관리의 시발점이 된 책은?,"[('현대적', 'O'), (' ', 'O'), ('인사조직관리의', 'O'), (' ', 'O'), ('시발점이', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('책은?', 'O')]"
강희제가 1717년에 쓴 글은 누구를 위해 쓰여졌는가?,"[('강희제', 'PERSON'), ('가', 'O'), (' ', 'O'), ('1717년', 'DATE'), ('에', 'O'), (' ', 'O'), ('쓴', 'O'), (' ', 'O'), ('글은', 'O'), (' ', 'O'), ('누구를', 'O'), (' ', 'O'), ('위해', 'O'), (' ', 'O'), ('쓰여졌는가?', 'O')]"
11~12세기에 제작된 본존불은 보통 어떤 나라의 특징이 전파되었나요?,"[('11~12세기', 'DATE'), ('에', 'O'), (' ', 'O'), ('제작된', 'O'), (' ', 'O'), ('본존불은', 'O'), (' ', 'O'), ('보통', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('나라의', 'O'), (' ', 'O'), ('특징이', 'O'), (' ', 'O'), ('전파되었나요?', 'O')]"
명문이 적힌 유물을 구성하는 그릇의 총 개수는?,"[('명문이', 'O'), (' ', 'O'), ('적힌', 'O'), (' ', 'O'), ('유물을', 'O'), (' ', 'O'), ('구성하는', 'O'), (' ', 'O'), ('그릇의', 'O'), (' ', 'O'), ('총', 'O'), (' ', 'O'), ('개수는?', 'O')]"
카드모스의 부하들이 간 곳에는 무엇이 있었는가?,"[('카드모스', 'PERSON'), ('의', 'O'), (' ', 'O'), ('부하', 'CIVILIZATION'), ('들이', 'O'), (' ', 'O'), ('간', 'O'), (' ', 'O'), ('곳에는', 'O'), (' ', 'O'), ('무엇이', 'O'), (' ', 'O'), ('있었는가?', 'O')]"
관우를 불태워 죽이려한 사람 누구인가?,"[('관우', 'PERSON'), ('를', 'O'), (' ', 'O'), ('불태워', 'O'), (' ', 'O'), ('죽이려한', 'O'), (' ', 'O'), ('사람', 'O'), (' ', 'O'), ('누구인가?', 'O')]"
참호 속에 무기와 장비를 버리고 도주한 집단은?,"[('참호', 'O'), (' ', 'O'), ('속에', 'O'), (' ', 'O'), ('무기와', 'O'), (' ', 'O'), ('장비를', 'O'), (' ', 'O'), ('버리고', 'O'), (' ', 'O'), ('도주한', 'O'), (' ', 'O'), ('집단은?', 'O')]"
제2차 세계 대전에 참전하여 사망한 자식은?,"[('제2차', 'QUANTITY'), (' ', 'O'), ('세계 대전', 'EVENT'), ('에', 'O'), (' ', 'O'), ('참전하여', 'O'), (' ', 'O'), ('사망한', 'O'), (' ', 'O'), ('자식', 'CIVILIZATION'), ('은?', 'O')]"
고려 공민왕이 처가 식구들과 아내와 함께 피신처로 삼은 마을은?,"[('고려', 'DATE'), (' ', 'O'), ('공민왕', 'PERSON'), ('이', 'O'), (' ', 'O'), ('처가', 'CIVILIZATION'), (' ', 'O'), ('식구', 'CIVILIZATION'), ('들과', 'O'), (' ', 'O'), ('아내', 'CIVILIZATION'), ('와', 'O'), (' ', 'O'), ('함께', 'O'), (' ', 'O'), ('피신처로', 'O'), (' ', 'O'), ('삼은', 'O'), (' ', 'O'), ('마을은?', 'O')]"
