id,doc_id,title,context,question,answers,answer,context_len,question_len,answer_len,answer_start
mrc-0-003839,15766,모후산,"모후산(母后山)대한민국 전라남도 화순군과 순천시의 경계를 이루는 높이 943.7m의 산이다.\n\n무등산 북쪽 지맥의 한 봉우리이나 규모가 크고 산세도 험한 편이다. 정상에 오르면 동복호와 주암댐, 무등산, 백아산, 조계산 등이 보여 전망이 트여있다.\n\n본래 라복산(蘿蔔山)이라고 부르다가 고려 공민왕 10년인 1361년에 홍건적의 고려 침공이 있었을 때 공민왕 부부가 태후와 함께 피난해 산 것을 계기로 모후산이라 부르게 되었다는 이야기가 전해온다. 조선 선조 25년인 1592년에 정유재란이 일어났을 때 동복현감인 김성원이 노모를 구하기 위해 싸우다 죽었다 하여 모호산(母護山)이라고 고쳐 부르게 되었다.\n\n모후산 남쪽 계곡에는 당나라의 유마운이 창건했다는 대한불교조계종 사찰 유마사가 있다. 한국 전쟁 중 조선로동당 전남도당이 유마사에 숨어들어 백아산과 연계하여 활동한 일이 있다. 공산주의자들의 소굴이라는 이유로 당시의 유마사 건물은 소각되었다. 새로 지은 유마사를 기점으로 산행 코스가 마련되어 있다. 1980년대까지만 해도 인적이 드물었으나 현재는 등산로가 잘 정비되어 있다.\n\n주변에 화순 적벽, 김삿갓 유적지, 남도 화단을 대표하는 화가 중 한 명인 오지호의 생가와 기념미술관이 있다. 조계산도립공원, 화순온천과도 가까운 거리이다.\n\n모후산 하면 화순 모후산 으로\n\n퍼뜩 떠오르지만, 모후산 의 한자이름 에서 볼수 있듯이 화순 쪽 보단 순천 쪽의 역사 가 더 크다 하겠다.\n\n고려 공민왕 때 에 홍건적 의 개경침공 으로 피신을 해야 했던 공민왕 은 왕의처가 쪽인 화순 동복오씨 분들과 어머니 를 모시고 피신처 를 찾던 중 화순동복사람 인 ""김도"" 의 안내 로 지금 의 순천시 송광면 삼청리 모후산 자락 왕대마을 쪽에 안착하게 된다. 아들인 공민왕 은 경상도 안동으로 가게되고, 어머니 와 처가쪽 사람들이 이곳 송광면 삼청리 왕대마을 에 머무르면서, 모후산 에서 자생하는 산삼을 먹으며 기력을 회복하게 된다. 그후 홍건적 난 이 어느정도 진압된 이후 어머니 를 모시러 온 공민왕 이 이곳 순천 송광면 삼청리 왕대마을 에 도착하여 기이하고 우람한 산세 를 보고 곁에 있던 ""김도""에게 물었다. 이산 이 무슨 산이냐? 라고 물으니, ""김도"" 는 예 라복산 이라 하옵니다. 라고 대답하였다. 그러고 나서 다시 왕이 말하기를 과연 ""덕여모후""로다 라고 말하였다.산 의 크나큰 덕이 어머니 같다 란 뜻의 이말 은\n\n순천 역사 중 송광면 삼청리 에 전해 내려오는 오랜 전설 로 전해지고 있으며 왕이 머무른 장소 라 하여\n\n마을 이름도 ""왕대"" 라 칭하였고, 왕족 이 피신한 임시수도 라 하여 그 아랫마을 이름 은 ""유경"" 이라 부르게 되었다. 지금도 이곳 송광면 왕대, 유경 마을 에는 공민왕 의 이야기 와 함께 산넘어 주암면 대광리 용문마을 에 존재하던 ""대광사""란 큰절이 존재했었고(조선말 때까지 존속 그후 폐찰 됨) 대광사 관련 불교유적 들이 송광면 삼청리,후곡리 주암면 대광리 주변으로 남아있으며 대표적인 대광사 의 유적 에는\n\n대한민국 명승25호 로 지정된 ""초연정원림"" 이 있고 후곡리 모후산 중턱에는 유마사 운성암절터 가 현재 에도 남아있다.(한국의폐사지 란 책자에 수록)\n\n과거 에는 후곡리 절터, 삼청리 절터 로 불리었던 곳이다. 이렇듯 모후산 은 화순군 과 함께 순천시 주암,송광면 의 진산으로 신증동국여지승람 에 대광사 이야기 와 함께 기록되어있는 명산 임 에도 불구하고\n\n1991년 광주권 상수도 공급 을 위해 이곳을 중심으로 주암호 담수가 시작되고, 수몰되는 위기 를 맞이하게 된다. 상수원보호구역 과 함께 자연환경보전구역 으로 묶여있는 탓에 순천 쪽 명성보단 화순군 의 산으로 알려진 모후산이다.",고려 공민왕이 처가 식구들과 아내와 함께 피신처로 삼은 마을은?,"{'answer_start': [861], 'text': ['왕대마을']}",왕대마을,1826,35,4,861
mrc-0-000748,12023,터미널 (2004년 영화),"동유럽의 소국 크라코지아에서 온 빅토르 나보르스키가 미국 뉴욕의 존 F. 케네디 국제공항에 도착한다. 입국 심사대에 선 그는 여권이 유효하지 않다는 통보를 받는다. 알고보니 빅토르가 미국행 비행기를 타는 사이 크라코지아에서 쿠데타와 내전이 일어나 일시적인 유령 국가가 되었고, 빅토르는 미국에 입국할 수도, 고국에 돌아갈 수도 없는 신세가 된 것이다. 국장 승진을 앞둔 공항 관리국의 프랭크 딕슨은 골칫덩어리가 된 빅토르를 라운지에서 쉬게 한다. 그러나 알아서 빠져 나가겠지 싶던 빅토르는 공항에 짐을 풀고 며칠이고 머물기 시작한다.\n\n처음에 어리숙하고 영어 한 마디조차 못하던 빅토르는 시행착오를 거치면서 공항에서 사는 법을 터득하게 되며, 공항 직원들과도 조금씩 안면을 트게 된다. 특히 승무원인 아멜리아는 빅토르를 처음 만났을 때 출장 잦은 건축가로 오해하게 되고, 순박한 빅토르의 면모에 끌리게 된다. 빅토르는 손재주가 매우 뛰어났고, 혼자서 벽을 도색하는 모습을 본 공항보수 작업반이 그를 채용해서 일하게 하기도 한다.\n\n어느 날 관리국에서 말이 통하지 않는 러시아인 여행객이 난동을 부리기 시작한다. 딕슨은 그를 처리하기 위해 같은 동유럽 출신인 빅토르를 데려와서 설득하게 한다. 러시아인은 캐나다에서 아버지의 병을 치료할 의약품을 반입하려던 것이었는데 그것이 법으로 금지되어 가져갈 수 없다고 하자 반발한 것이었다. 아버지를 살릴 수 없게 되자 울부짖는 러시아인에게, 빅토르는 그 약을 염소에 쓰는 약이라고 둘러대게 한다. 사람에게 쓰는 약이 아닌 동물 약은 반입 제한 규정이 없었기에 러시아인은 약을 가지고 돌아갈 수 있었다. 딕슨은 이런 빅토르의 행동에 앙심을 품기 시작했지만, 이 사건을 공항 청소부 굽타가 빅토르의 영웅적 행동으로 와전시키면서 빅토르는 이후 다른 공항 직원들의 호감을 사게 된다.\n\n한편 승무원 아멜리아가 빅토르와 점점 가까워지는 것을 보자 딕슨은 아멜리아를 불러 빅토르가 무국적자라는 사실을 밝힌다. 아멜리아는 빅토르가 사실을 숨겼다고 생각하여 실망한다. 빅토르는 그녀에게 갖고 있던 땅콩 통조림 캔을 열어 보여준다. 그 안에는 유명 재즈 가수들의 사인지가 가득 들어있었다. 빅토르의 아버지가 어느 날 재즈 가수들의 사진을 보고 그 가수들의 사인을 받아서 모은 것이었는데, 딱 한 사람 베니 골슨의 사인을 받지 못하고 죽었다. 빅토르는 아버지의 소원을 이루기 위해 미국에 온 것이었다. 아멜리아는 이 이야기를 듣고 오해를 풀게 된다.\n\n빅토르가 공항에서 지낸 지 9개월째, 드디어 크라코지아의 전쟁이 종식된다. 아멜리아는 남자친구에게 부탁하여 빅토르에게 줄 하루치 비자를 얻어다 준다. 빅토르는 이제 입국할 수 있게 되었다고 생각했으나, 비자에는 감독관의 서명이 필요했고 그 감독관은 빅토르를 계속 방해했던 프랭크 딕슨이었다. 딕슨이 그간 빅토르와 어울렸던 공항 직원들의 부정행위를 언급하며 그들을 해고하겠다고 위협하자 빅토르는 서명 요청을 철회한다. 딕슨은 당일 출발하는 크라코지아행 비행기를 타고 귀국하라고 지시하고 빅토르는 어쩔 수 없이 비행기로 향한다. 그러나 청소부 굽타가 자신의 경력을 걸고 비행기를 막아섬으로써 출항을 지연시킨다. 굽타의 희생으로 빅토르는 하루 동안 입국할 수 있게 된다. 딕슨은 마지막 수단으로 경호원들을 시켜 빅토르를 막게 시켰으나, 딕슨의 행동에 반발한 경호원들이 빅토르를 보내준다.\n\n빅토르는 드디어 뉴욕에 나와서, 택시를 타고 베니 골슨이 공연하는 호텔로 간다. 그의 연주를 들은 뒤 사인을 받아들고 빅토르는 비로소 '집'으로 향한다.",아멜리아는 빅토르의 직업을 무엇으로 착각하나요?,"{'answer_start': [414], 'text': ['출장 잦은 건축가']}",출장 잦은 건축가,1751,26,9,414
mrc-1-000732,47810,권번,"권번은 주식회사 제도로 운영되었으며 일제가 그 관리를 주도하였다. 일제가 권번을 관리하기 쉽게 하고, 권번을 이용하는 일본인이 많아지면서 운영 면에서 편리를 취하기 위함이었다. 따라서 권번과 기생의 관계는 경제적 시각으로 본다면 일종의 사업체와 직원과도 같은 것이었다. 권번이 하는 기능은 모든 교육과정을 수료한 기생들이 요정에 나가는 것을 지휘하고 감독하는 것이었으며, 수수료를 챙기는 것에서 더 나아가 기생 양성 과정을 만들고 기생들의 수익을 나누었던 것이었다\n\n권번의 교육 과정으로는 판소리 (여창가곡, 가사, 시조, 남도소리, 잡가 등), 기악 (가야금, 거문고, 양금, 장구 등), 궁중무용, 민속무용, 서양댄스, 서화, 예법 등이 있었으며 기생으로서 필수적인 예능은 물론 일반교양까지 포괄하는 다양한 내용으로 수업이 진행되었다. 이러한 식으로 권번은 전통 예술과 대중들에게 인기높은 과목을 집중 교육시켜 요릿집 무대에 출연시켰고, 기생들이 기예를 통해 인지도를 높여나가는 중심 역할을 맡게 되었다 권번에서는 요릿집에 매일 '초일기' (草日記)라는 이름의 기생 명단을 보내 단골손님이 아니더라도 기생을 부를수 있게 했고, 예약도 받았는데 일류 명기는 일주일 전에 예약해야 할 정도로 인기가 높았다",권번에서 요릿집에 제공한 기생 명부의 이름은?,"{'answer_start': [524], 'text': [""'초일기'""]}",'초일기',620,25,5,524
mrc-0-000250,34784,애순핑크 크릭 전투,"트렌턴에서 워싱턴은 난제에 부딪쳐 있었다. 소수를 제외하고는 모든 병력의 징병 기간이 12월 31일로 끝나기 때문에, 사병들을 설득해 징병 기간 연장을 승인받지 않는 한 군대가 싸우지 않고 붕괴될 것이라는 것을 알고 있었다. 따라서 30일에, 병사들에게 10달러의 상금과 1개월 연장 근무를 요청했다. 또한 무료로 지원병을 모집했지만 아무도 응하지 않았다. 워싱턴은 말 위에서 부대의 이전을 둘러싸고 군인들에게 호소했다. “우리 용감한 동지들이여! 제군들 모두는 내가 명령한 것을 기대할 수 있는 이상으로 달성해 주었다. 그러나 국가는 위기에 처해 있다. 제군들의 아내와 가정, 그리고 소중한 모든 것들이 달려 있다. 모두가 피곤하고, 괴롭다. 그러나 더 참아야 한다고 요구하는 것을 용서해 주길 바란다. 이후 한달동안 더 복무를 해주는 것에 동의한다면, 자유와 이 나라를 지키기 위해 군대에서 일할 수 있지만, 이런 기회는 앞으로 다시는 없을 것이다.\n\n처음에는 아무도 나서지 않았지만, 한 군인이 나섰다. 그리고 몇 명을 제외한 모든 군인이 모두 나섰다.",30일에 한달 연장 근무를 신청하는 병사가 상금으로 받게 되는 금액은?,"{'answer_start': [142], 'text': ['10달러']}",10달러,538,39,4,142
mrc-0-001230,35553,외국의 시리아 내전 관여,"외국의 시리아 내전 관여는 2011년 3월 시작된 시리아 내전에 참여한 세력에 정치, 군사, 작전적인 지원을 하는 것과 외국의 활발한 개입을 의미한다. 시리아 내전에 참여한 대부분의 세력은 외국으로부터 다양한 종류의 지원을 받았다. 시리아 내전은 미국과 러시아, 그리고 이란과 사우디아라비아를 중심으로 한 역내 세력과 세계 강대국의 대리 전쟁이 중복되는 것으로 묘사되고 있다.. \n\n시리아 바트당 정부는 이란과 러시아에 군사 및 정치적인 지원을 받고 있으며, 레바논의 헤즈볼라와 시리아에 본부를 둔 팔레스타인 무장단체 PFLP-GC도 시리아 정부를 돕고 있다. 공개적이고 합법적으로 시리아에 기지를 보유한 유일한 해외 국가인 러시아는 시리아 정부의 요청에 따라 2015년 9월 30일부터 ISIL과 다른 반정부 단체에 맞서 공중전을 시작했다. 러시아의 군사 행위는 미국과 터키의 비난을 받았다. 터키는 2015년 11월부터 러시아 전투기가 영공을 침범했다는 이유로 요격하기도 했으며, 터키가 지원하는 반정부군에 러시아의 공격이 발생하자 이를 비판하기도 했다. \n\n시리아 국가동맹으로 대표되는 시리아 반군은 경제, 병참, 정치적으로 미국과 동맹을 맺은 중동의 수니파 국가들로부터 지원을 받고 있다. 사우디아라비아, 카타르, 터키가 대표적인 지원국이다. 시리아 내전 초기부터 미국, 프랑스, 영국은 테러주의 집단으로 이들을 분류하지 않은 반군과 무장단체들을 지원하고 있었다. 2015년 7월 이래 터키 역시 공개적으로 시리아 쿠르드 단체들의 확장에 맞서 군사적 수단을 모색하기 시작했다.\n\n쿠르드 주도의 시리아 민주군은 미국, 영국, 프랑스, 캐나다, 러시아, 이집트, 아랍에미리트, 체코의 지원을 받고 있다. 또한 쿠르드 자치구로부터 군사 및 병참 지원을 받고 있다. 살라프파 단체들은 터키의 지원을 받고 있다.",러시아가 ISIL과 타 반정부 단체와 전투를 벌인 년도는?,"{'answer_start': [372], 'text': ['2015년']}",2015년,907,32,5,372
mrc-0-004050,4936,루트비히 비트겐슈타인,"몽크의 전기에 따르면 비트겐슈타인은 전쟁이 시작되었는데도 철학 강의나 하고 있는 스스로의 처지를 견디기 힘들어하였다고 한다. 1941년 9월 비트겐슈타인은 철학자 길버트 라일의 형제였던 존 라일 교수에게 요청하여 런던에 있는 가이스 병원에서 봉사하겠노라고 요청하였다. 존 라일은 케임브리지 대학교의 의학 교수였다. 그는 비트겐슈타인의 요청을 받아들였고 이에 따라 비트겐슈타인은 가이스 병원에서 약품을 관리하는 일을 하였다\n\n병원의 직원들은 세상에서 가장 유명한 철학자가 자신들과 함께 일하고 있다는 사실을 알지 못하였다. 간혹 비트겐슈타인을 알아보는 사람들에게 비트겐슈타인은 ""아무에게도 말하지 말아주세요."" 하고 부탁하였고, 자신을 비트겐슈타인 교수님이라 부르지 말고 여느 의사들과 같이 박사님이라 불러 주기를 바랐다. \n\n이 무렵 비트겐슈타인은 몹시 외로웠다.\n\n내 생활의 미래를 대상으로 해 나는 더는 어떤 희망도 없다. 살아 있는 사망이 길게 늘어진 것과 같은 이런 것은 예전에는 없었다. 최악의 상황 말고는 내 미래를 상상할 수 없다. 친구도 없고 기쁨도 없고.|비트겐슈타인|1942년 4월 1일\n\n비트겐슈타인은 프란시스 스키너의 연구 수업에 참여한 십대였던 케이스 커크와 우정을 발전시켜 나갔다. 이 관계는 스키너가 죽은 1941년까지 지속되었다. 스키너는 비트겐슈타인과 커크의 관계에 대해 별다른 관심을 두지 않았다. 그는 자신의 학문 연구에 비트겐슈타인이 영향을 미치는 것이 최소화된 점을 고마워했다. 비트겐슈타인은 커크에게 우정 이상의 것을 표현하지 않았지만 스스로는 사랑에 빠져 있었다. 이 기간 비트겐슈타인은 일기에 종종 커크에 대한 자신의 감정을 적곤 하였다.\n\n열흘 동안이나 K에게서 아무것도 듣지 못했다. 일주일 전에 그 사람을 언급했는데도. 아무래도 그 사람이 날 찬 듯하다. 비참한 생각.\n\n비트겐슈타인이 이 편지를 쓸 무렵 커크는 혼인하였고 둘은 다시는 만나지 않았다.",비트겐슈타인은 누구와 친구가 되었는가?,"{'answer_start': [606], 'text': ['케이스 커크']}",케이스 커크,963,21,6,606
mrc-1-001330,54152,차바하르,"파키스탄은 중국과 손잡고 차바하르항에서 동쪽으로 불과 약 70 km에 떨어진 과다르항을 개발하고 있다. 일대일로 사업을 추진하는 중국은 서아시아의 물류 요충지 과다르항을 개발하는 데 투자하는 대가로 향후 40년간 운영권을 확보했다. 중국은 과다르항에 군함까지 파견하려고 한다.\n\n2018년 이란 핵협정에 문제를 제기한 미국은 이란의 모든 항구에 대한 제재를 다시 가하면서, 차바하르항만 예외로 허용했다. 중국의 과다르항 개발 때문이라고 분석되었다. 따라서 이 차바하르항이 미국의 제재를 피하는 유일한 항구로 이용될 수 있게 되었다.\n\n인도는 과다르에서 불과 수백 마일 떨어진 이란의 차바하르 항을 개발하여 경쟁하려 하며, 친미 국가인 오만의 인근 항구에 대한 해군 접근권도 얻었다.\n\n2017년 4월 10일, 파키스탄 남부 발루치스탄에서 분리주의 활동을 조장하고 파키스탄과 중국이 추진하던 460억 달러, 52조 8천억 원 규모의 경제 회랑 건설을 방해하려던 혐의로 2016년 3월 체포된 인도 해군 장교 쿨부샨 자다브에 대해 군사법원이 사형을 선고했으며 카마르 자베드 바지와 육군참모총장이 이를 확정했다. 자다브는 군사법원에서 인도 해외정보기구를 위해 일했음을 자백했다. 인도 정부는 자다브가 2012년 해군을 전역해 이란에서 차바하르 항구 개발 사업 관련 일을 하다 납치됐다며 간첩활동과는 무관하다고 반박했다.\n\n2017년 5월 19일, 네덜란드 헤이그에 있는 국제사법재판소(ICJ)가 간첩혐의로 파키스탄 법원에서 사형선고를 받은 인도인의 사형집행을 ICJ의 최종 판결이 내려지는 8월 까지 사형집행을 해서는 안 된다고 요구했다. 파키스탄은 이번 사건과 관련해 ICJ의 재판 관할권이 없다고 다퉜지만, ICJ 재판부는 이를 받아들이지 않았다.",차바하르항은 어떤 나라 덕분에 미국의 제재를 받지 않게 되었나?,"{'answer_start': [228], 'text': ['중국']}",중국,873,35,2,228
mrc-0-005041,56863,엘디아 (진격의 거인),"마레 내에서 이들이 차는 완장에는 별 모양의 문양이 그려져 있는데, 이는 그리샤가 에르디아의 역사를 듣던 장면의 그림에서 시조 거인의 손에서 뿜어져 나오는 빛의 모양과 유사하다. 정황상 엘디아의 상징인 듯하다.\n\n전체적인 베이스는 독일인과 문화적, 인종적으로 비슷해 보인다. 위미르 프리츠의 과거 회상을 보면 고대 엘디아 민족은 로마 시대의 고대 게르만족의 모습을 하고 있었다. 반면 마레 제국은 고대 로마. 다만 특유의 선민사상, 별 문양, 독일식이 주가 되는 이름, 여러 캐릭터들의 매부리코, 현재 마레 내외의 엘디아 인들의 취급을 보면 수용소, 완장 등의 요소로 보아 아슈케나짐 유대인에서도 상당히 모티브를 땄다. 세계 대전 당시의 유대인을 연상시키는 한 편, 성경의 그것과도 인연이 깊은 듯한 연출이 종종 등장한다. 또한 진격의 거인 세계관에서 세계 지도가 현실의 지도를 거꾸로 뒤집은 모습인데 벽 안의 엘디아 인들이 사는 곳이 현실 세계의 마다가스카르에 해당된다. 과거 제2차 세계대전 기간, 나치 독일이 진행했던 유대인을 마다가스카르로 이주시키고자 했던 계획과 공통점이 있으며, 영감을 받았으리라 추정. 유대인 외에도 에르디아 인과 마레인의 관계가 마치 르완다 학살 당시 후투족과 투치족의 관계와 상당히 비슷하다.\n\n의사 집안인 그리샤가 비행선에 타고 싶다고 말하는 페이에게 우리가 대체 뭔 수로 부자가 될 수 있느냐고 하는걸 보면 엘디아인들은 경제적으로 굉장히 큰 제약을 받는 듯하다. 다만 마레 제국 내에서의 전반적인 의식주 자체는 방벽 내부의 삶보다 더 나은 것으로 비춰진다.",완장에 있는 별모양과 비슷한 모양의 빛을 뿜는 것은 누구의 손인가?,"{'answer_start': [68], 'text': ['시조 거인']}",시조 거인,783,37,5,68
mrc-1-001471,53527,광인산화,"ATP는 ATP 생성효소라고 불리는 효소에 의해 만들어진다. ATP 생성효소와 ATP 생성효소의 유전자의 구조는 알려진 모든 형태의 생명체에서 놀라울 정도로 유사하다.\n\nATP 생성효소는 보통 H(양성자)의 농도 기울기의 형태로 막을 경계로 한 전기화학적 기울기에 의해 구동된다. 전자전달계의 기능은 H(양성자)의 농도 기울기를 생성하는 것이다. 모든 살아있는 생물체에서 일련의 산화환원 반응은 막을 경계로 한 전기화학적 기울기 또는 소위 양성자 구동력(proton motive force)을 생성하는데 사용된다.\n\n산화환원 반응은 전자가 전자공여체 분자로부터 전자수용체 분자로 전달되는 화학 반응이다. 이러한 반응을 일으키는 근본적인 힘은 반응물과 생성물의 깁스 자유 에너지이다. 깁스 자유 에너지는 일을 하는데 있어 이용가능한(""자유"") 에너지이다. 반응계의 전체 깁스 자유 에너지를 감소시키는 반응은 자발적으로 진행된다. 물론 자발적인 반응이 반응속도론적으로 저해되면, 반응이 천천히 진행될 수는 있다.\n\n고에너지 분자(전자공여체)로부터 저에너지 분자(전자수용체)로 전자가 전달되는 것은 일련의 산화환원 반응으로 공간적으로 분리될 수 있는데, 이것이 전자전달계이다.\n\n반응이 열역학적으로 가능하다고 해서, 그 반응이 실제로 일어날 수 있다는 것을 의미하는 것은 아니다. 수소 기체와 산소 기체의 혼합물은 저절로 발화하지는 않는다. 대부분의 생화학 반응을 유용한 속도로 진행시키기 위해서는 활성화 에너지를 공급하거나 반응계 고유의 활성화 에너지를 낮추는 것이 필요하다. 살아있는 생물은 생화학 반응의 활성화 에너지를 낮추기 위해 복잡한 고분자 구조(효소)를 사용한다.\n\n열역학적으로 불리한 반응(전하의 분리 또는 농도 기울기의 형성과 같은)을 열역학적으로 유리한 반응(고에너지 상태에서 저에너지 상태로의 전이)과 결합시켜서, 반응계의 전체 자유 에너지를 감소시키고(열역학적으로 가능하게 만드는) 생물에게 유용한 반응을 진행시킬 수 있도록 한다. 효소는 열역학적으로 유리한 반응이 동시에 일어나는 경우에만 열역학적으로 불리한 반응을 촉매한다는 원리는 모든 알려진 생물에게 적용된다.\n\n전자전달계는 막을 경계로 한 전기화학적 기울기의 형태로 에너지를 생성한다. 이 에너지는 유용한 일을 수행하는데 사용된다. 전기화학적 기울기는 막을 가로질러 분자를 운반하는데 사용될 수 있다. 전기화학적 기울기는 세균의 편모를 회전시키는 것과 같은 기계적인 작업을 수행하는데 사용될 수 있다. 전기화학적 기울기는 성장에 필요한 고에너지 분자인 ATP와 NADPH를 생성하는데 사용될 수 있다.",전기화학적 기울기가 ATP와 무엇을 만들어낼 수 있는가?,"{'answer_start': [1264], 'text': ['NADPH']}",NADPH,1286,31,5,1264
mrc-0-003871,14083,이범래 (1868년),"1894년 장위영 영관을 지낸 무관이었다. 1896년 명성황후가 일본인 낭인들에게 살해되는 을미사변이 발생했을 때, 훈련대 제2대대 중대장이었던 이범래는 상관인 대대장 이두황과 함께 이 사건에 연루되었다. 사건 직후 친일 내각이 훈련대를 개편하면서 이범래는 새로 조직된 훈련대의 제1대 대대장에 임명되었다. 당시 계급은 참령이었다.\n\n이범래는 춘생문 사건 때도 미리 알아낸 계획을 어윤중에게 알리는 등 새 내각을 지원하였다. 그러나 곧이어 아관파천으로 정국이 급변하면서 친일내각도 붕괴되었다. 을미사변 관련자들은 일부 붙잡혀 사형당하고, 나머지는 일본으로 도피했다. 이범래도 일본으로 몸을 피해 1907년까지 9년 동안 망명 생활을 했다.\n\n한일신협약이 체결되고 대한제국 군대 해산도 이루어진 1907년부터는 일본의 입김이 크게 강화되어 을미사변 관련자들도 모두 사면되었다. 특별사면을 받은 이범래는 곧바로 중추원 의관에 임명되었고, 1908년에는 함경남도 관찰사로 발령받았다. 함남재판소 판사를 겸임하는 자리였다.\n\n1910년에는 한일 병합 조약이 체결되었다. 이범래는 부지사 격의 직책인 함북 참여관에 임명되었다. 1917년까지 7년간 참여관 자리에 있으면서 함북 지방토지조사위원회 위원으로서 조선총독부의 토지조사 사업에 협력했다. 1917년에는 평안남도 참여관으로 임지를 옮겼다. 이 곳에서도 평남 지방토지조사위원회 위원을 역임했다. 평남에서는 1921년까지 근무하여, 총 11년 동안 도 참여관으로 재임했다.\n\n평남 참여관으로 재직 중이던 1918년에 《매일신보》가 조직한 구주시찰단의 단장에 임명되어 규슈 지역을 방문하고 돌아온 일이 있다. 이 시찰단은 임진왜란 때 끌려간 조선인 후손들이 사는 조선촌을 탐방하였으며, 삼백년 전에 일본인이 된 조선인 후손의 존재를 일본과 조선이 하나라는 논리로 이어붙이는 탐방기도 발표되었을 만큼 정치적인 여행이었다.\n\n1912년 일본 정부가 한일합방을 기념해 공로자들에게 수여한 한국병합기념장을 수여받았고, 1915년에는 다이쇼대례기념장을, 1920년에는 훈4등 서보장을 서훈받았다.",이범래는 일본에서 언제까지 도피 생활을 했나요?,"{'answer_start': [335], 'text': ['1907년까지']}",1907년까지,1033,26,7,335
